feature,mean_abs_shap
Phosphate_abnormal_flag,0.0
missing_Potassium,0.0
Potassium_abnormal_flag,0.0
RBC_abnormal_flag,0.0
missing_RDW,0.0
Neutrophils_abnormal_flag,0.0
missing_PT,0.0
missing_Oxygen Saturation,0.0
missing_Phosphate,0.0
"Creatine Kinase, MB Isoenzyme_abnormal_flag",0.0
Atrioventricular and left bundle-branch block,0.0
missing_pO2,0.0
Cocaine related disorders,0.0
Epilepsy and recurrent seizures,0.0
Asthma,0.0
Alcohol related disorders,0.0
Angina pectoris,0.0
pCO2_abnormal_flag,0.0
pH_abnormal_flag,0.0
pO2_abnormal_flag,0.0
missing_pCO2,0.0
Multiple valve diseases,0.0
Iron deficiency anemia,0.0
Hypertensive heart disease,0.0
Hypertensive heart and chronic kidney disease,0.0
Fibrosis and cirrhosis of liver,0.0
Disorders of mineral metabolism,0.0
Disorders resulting from impaired renal tubular function,0.0
Nonrheumatic tricuspid valve disorders,0.0
Other coagulation defects,0.0
Other cardiac arrhythmias,0.0
Other conduction disorders,0.0
Other diseases of liver,0.0
Other hypothyroidism,0.0
"Other disorders of kidney and ureter, not elsewhere classified",0.0
Other acute ischemic heart diseases,0.0
Nonrheumatic mitral valve disorders,0.0
Other sepsis_x,0.0
Other interstitial pulmonary diseases,0.0
"Pneumonia, unspecified organism",0.0
Paroxysmal tachycardia,0.0
Retention of urine,0.0
Rheumatic tricuspid valve diseases,0.0
Sequelae of cerebrovascular disease,0.0
"Respiratory failure, not elsewhere classified",0.0
Type 1 diabetes mellitus,0.0
Volume depletion,0.0
Acute respiratory distress syndrome,0.0
Cardiac arrest,0.0
Cerebral infarction,0.0
Other sepsis_y,0.0
Pulmonary embolism,0.0
Other sepsis,0.0
